# one voigt per line, first col corresponds to energy_ranges key

#energy_ranges = {0:[780,1900],
#                 1:[790,805],
#                 2:[1110,1122],
#                 3:[1136,1155],
#                 4:[812,825],
#                 5:[1293,1303],
#                 6:[1436,1452],
#                 7:[1461,1474]}

key,state,sigma,gamma,center,amp,background

# 1:[790,805]

1,0,3,1,797,1000,1
1,0,3,1,801,800,1

1,1,3,1,797.5,1100,1
1,1,3,1,799.5,600,1

1,2,3,1,797,2700,1
1,2,3,1,801,1000,1

1,3,3,1,797,2000,1
1,3,3,1,801,1200,1

1,4,3,1,798,2400,1
1,4,3,1,799,800,1

1,5,3,1,797,3000,1
1,5,3,1,801,1000,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# 2:[1110,1122]

2,0,3,.001,1115,2000,1

2,1,3,.001,1115,2000,1

2,2,3,.001,1115,2000,1

2,3,3,.001,1115,2000,1

2,4,3,.001,1115,2000,1

2,5,3,.001,1115,2000,1


#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#3:[1140,1155]

3,0,3,1,1145,30000,1

3,1,3,1,1145,12800,1

3,2,3,1,1145,20000,1

3,3,3,1,1145,20000,1

3,4,3,1,1145,20000,1

3,5,3,1,1145,20000,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#4:[814,825]

4,0,3,1,821,1000,1

4,1,3,1,821,1000,1

4,2,3,1,821,1000,1

4,3,3,1,821,1000,1

4,4,3,1,821,1000,1

4,5,3,1,821,1000,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#5:[879,900]

5,0,3,1,885,3000,1
5,0,3,1,893,3000,1

5,1,3,1,885,3000,1
5,1,3,1,893,3000,1

5,2,3,1,885,3000,1
5,2,3,1,893,3000,1

5,3,3,1,885,3000,1
5,3,3,1,893,3000,1

5,4,3,1,885,3000,1
5,4,3,1,893,3000,1

5,5,3,1,885,3000,1
5,5,3,1,893,3000,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#6:[909,941]

6,0,3,1,914,1800,1
6,0,3,1,926,1800,1

6,1,3,1,914,3000,1
6,1,3,1,926,7000,1

6,2,3,1,914,2000,1
6,2,3,1,926,2000,1

6,3,3,1,914,1900,1
6,3,3,1,926,2000,1

6,4,3,1,914,1800,1
6,4,3,1,926,2000,1

6,5,3,1,914,1800,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#7:[1092,1105]

7,0,3,1,1098,1800,1

7,1,3,1,1098,3000,1

7,2,3,1,1098,2000,1

7,3,3,1,1098,1900,1

7,4,3,1,1098,1800,1

7,5,3,1,1098,1800,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#8:[1178,1188]

8,0,3,1,1183,1800,1

8,1,3,1,1183,3000,1

8,2,3,1,1183,2000,1

8,3,3,1,1183,1900,1

8,4,3,1,1183,1800,1

8,5,3,1,1183,1800,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#9:[1292,1305]

9,0,3,1,1299,1800,1

9,1,3,1,1299,3000,1

9,2,3,1,1299,2000,1

9,3,3,1,1299,1900,1

9,4,3,1,1299,1800,1

9,5,3,1,1299,1800,1

#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#10:[1065,1225]

10,0,2.5,1,1085,500,1
10,0,2.5,1,1098,2500,1
10,0,2.5,1,1104,1100,1
10,0,2.5,1,1116,5500,1
10,0,2.5,1,1125,2000,1
10,0,2.5,1,1136,3500,1
10,0,2.5,1,1145,31000,1
10,0,2.5,1,1159,1500,1
10,0,2.5,1,1170,1500,1
10,0,2.5,1,1183,9000,1
10,0,2.5,1,1192,500,1
10,0,2.5,1,1203,100,1
10,0,2.5,1,1215,100,1

10,1,2.5,1,1085,100,1
10,1,2.5,1,1098,1400,1
10,1,2.5,1,1104,600,1
10,1,2.5,1,1115,3000,1
10,1,2.5,1,1125,1500,1
10,1,2.5,1,1136,3000,1
10,1,2.5,1,1145,13000,1
10,1,2.5,1,1159,3000,1
10,1,2.5,1,1170,4000,1
10,1,2.5,1,1182,27000,1
10,1,2.5,1,1192,2000,1
10,1,2.5,1,1203,1000,1
10,1,2.5,1,1215,800,1

10,2,2.5,1,1085,800,1
10,2,2.5,1,1098,2000,1
10,2,2.5,1,1104,1100,1
10,2,2.5,1,1115,4000,1
10,2,2.5,1,1125,1700,1
10,2,2.5,1,1136,3000,1
10,2,2.5,1,1145,20000,1
10,2,2.5,1,1159,1000,1
10,2,2.5,1,1170,1000,1
10,2,2.5,1,1183,3500,1
10,2,2.5,1,1192,500,1
10,2,2.5,1,1203,500,1
10,2,2.5,1,1215,500,1

10,3,2.5,1,1085,100,1
10,3,2.5,1,1098,2000,1
10,3,2.5,1,1104,600,1
10,3,2.5,1,1115,4000,1
10,3,2.5,1,1125,1300,1
10,3,2.5,1,1136,2000,1
10,3,2.5,1,1145,21000,1
10,3,2.5,1,1159,1500,1
10,3,2.5,1,1170,1500,1
10,3,2.5,1,1183,9000,1
10,3,2.5,1,1192,500,1
10,3,2.5,1,1203,500,1
10,3,2.5,1,1215,500,1

10,4,2.5,1,1085,100,1
10,4,2.5,1,1098,2000,1
10,4,2.5,1,1104,600,1
10,4,2.5,1,1115,4500,1
10,4,2.5,1,1125,1000,1
10,4,2.5,1,1136,2000,1
10,4,2.5,1,1145,23000,1
10,4,2.5,1,1159,1500,1
10,4,2.5,1,1170,1000,1
10,4,2.5,1,1183,7000,1
10,4,2.5,1,1192,500,1
10,4,2.5,1,1203,500,1
10,4,2.5,1,1215,500,1

10,5,2.5,1,1085,1200,1
10,5,2.5,1,1098,3500,1
10,5,2.5,1,1104,2000,1
10,5,2.5,1,1115,5500,1
10,5,2.5,1,1125,5500,1
10,5,2.5,1,1136,11000,1
10,5,2.5,1,1145,22000,1
10,5,2.5,1,1159,1000,1
10,5,2.5,1,1170,100,1
10,5,2.5,1,1183,1000,1
10,5,2.5,1,1192,100,1
10,5,2.5,1,1203,100,1
10,5,2.5,1,1215,100,1
